,pmi
一人目,2.126128655652489
育児休業を取得すること,2.126128655652489
正しい知識,2.126128655652489
"*
   ",2.126128655652489
児童扶養手当,2.126128655652489
"
   ",2.126128655652489
文化予算,2.126128655652489
産業界,2.126128655652489
配置改善,2.126128655652489
就職氷河期世代,2.126128655652489
育児負担,2.126128655652489
公的サービス,2.126128655652489
中高年優遇,2.126128655652489
企業文化,2.126128655652489
成功事例,2.020768139994663
フランス,1.9438070988585345
根幹,1.9438070988585345
子育て支援拠点,1.9029851043382795
幅広い施策,1.9029851043382795
三世代同居,1.8384465832007082
出産育児一時金,1.8384465832007082
子ども・子育て支援策,1.8384465832007082
具体的な政策を提案,1.8384465832007082
先進国,1.8384465832007082
包括的な施策,1.7896564190312763
男女共,1.7404661748405046
家族観,1.7206635475443246
決断,1.7206635475443246
保育士確保,1.7206635475443246
低所得層,1.7206635475443246
2030年代,1.7206635475443246
財政的な支援,1.7206635475443246
高い子育て支援,1.7206635475443246
子ども・子育て支援新制度,1.7206635475443246
参考,1.7206635475443246
希望を持てる社会を作ること,1.7206635475443246
積極的に関与すること,1.7206635475443246
キャリア形成,1.7206635475443246
社会保障制度改革,1.7206635475443246
子どもを育てやすい環境を整えること,1.7206635475443246
幅広い世代,1.7206635475443246
その観点,1.7206635475443246
高い保育サービス,1.7206635475443246
両立支援,1.7206635475443246
必要だと提案,1.7206635475443246
多様な働き方,1.7206635475443246
長期的な視野,1.7206635475443246
育児休業を取ること,1.7206635475443246
公営住宅,1.7206635475443246
高校卒業,1.7206635475443246
"
・男女共同参画",1.7206635475443246
"
・子育て環境",1.7206635475443246
全国一律,1.7206635475443246
総合的な取り組み,1.7206635475443246
限り,1.68429590337345
男女共同参画,1.6741435319094318
様々な施策,1.6561250264067537
"
・少子化克服",1.6153030318864985
総合的な政策,1.6153030318864985
情報提供,1.6153030318864985
全世代型社会保障制度,1.6153030318864985
社会経済,1.6153030318864985
職場復帰,1.6153030318864985
結婚・子育て,1.6153030318864985
"
以下",1.6153030318864985
トータル,1.6153030318864985
具体的な数値目標,1.6153030318864985
数字,1.5665128677170663
防止,1.5665128677170663
現物給付,1.5665128677170663
学び,1.5665128677170663
経済支援,1.5507645107489272
育児参加,1.5507645107489272
多子世帯,1.5383419907503701
"
・仕事",1.5383419907503701
支援金制度,1.5383419907503701
共同,1.5314215479057964
結婚・出産,1.5199928520821737
参加,1.5070894472462657
反転,1.5070894472462657
支援を強化すること,1.5070894472462657
"
・結婚",1.472202188245825
もと,1.4329814750925438
それぞれ,1.4329814750925438
希望を実現するため,1.4329814750925438
既存施策,1.4329814750925438
家族制度,1.4329814750925438
必要性を提唱,1.4329814750925438
老後,1.4329814750925438
数値目標,1.4329814750925438
児童手当を削減すること,1.4329814750925438
総合的な子育て支援,1.4329814750925438
他地域,1.4329814750925438
多いことを指摘,1.4329814750925438
不妊治療支援,1.4329814750925438
子ども中心,1.4329814750925438
大人中心,1.4329814750925438
就労支援,1.4329814750925438
職場環境,1.4329814750925438
保険適用,1.4329814750925438
生殖医療,1.4329814750925438
所得向上,1.4329814750925438
単一の政策,1.4329814750925438
支援不足,1.4329814750925438
単独の問題,1.4329814750925438
意識改革,1.4329814750925438
学童クラブ,1.4329814750925438
ローカル線,1.4329814750925438
地域生活,1.4329814750925438
"
・非正規雇用",1.4329814750925438
健康問題,1.4329814750925438
積極的な少子化対策,1.4329814750925438
岸田内閣,1.4329814750925438
妊産婦,1.4329814750925438
住宅環境,1.4329814750925438
ベビーシッター制度,1.4329814750925438
幅広い視点,1.4329814750925438
多様な施策,1.4329814750925438
社会参加,1.4329814750925438
格差解消,1.4329814750925438
"
・男女",1.4329814750925438
子供を産むこと,1.4329814750925438
住宅支援,1.4329814750925438
就業率,1.4329814750925438
